MENTION,position,situation,Twitter,Facebook,Instagram,YouTube
Margarida Salomão,Deputada Federal,Não está em exercício,,,,
Maria do Carmo Alves,Senadora,Não está em exercício,,,,
Gorete Pereira,Deputada Federal,Não está em exercício,,,,
Flavia Arruda,Deputada Federal,Titular em exercício,,,,
Adriana Ventura,Deputada Federal,Titular em exercício,@adriventurasp,Adriana Ventura ,@adriventurasp,UC4CLvdtnUGoq39PYcToSOSw
Alê Silva,Deputada Federal,Titular em exercício,@alesilva_38,Alê Silva,@alesilva.oficial,UCWGscB8R2ecnNrdr_UCmaRA
Alice Portugal,Deputada Federal,Titular em exercício,@Alice_Portugal,Alice Portugal,@aliceportugal,UCwXQiSit2nn-ggtnVF-Hz0w
Aline Gurgel,Deputada Federal,Titular em exercício,@dep_alinegurgel,Aline Gurgel,@dep_alinegurgel,UC7v2Ng9B1UAxhEypPw5cEag
Aline Sleutjes,Deputada Federal,Titular em exercício,@AlineSleutjes,Deputada Federal Aline Sleutjes ,@alinesleutjes,UCcryiDLj86mGK2kPc4idoGg
Ângela Amin,Deputada Federal,Titular em exercício,@DeputadaAngela,Angela Amin ,@angelaaminoficial,UCL1HjOmp6cF9lekm8qmGxRA
Áurea Carolina,Deputada Federal,Titular em exercício,@aureacarolinax,Áurea Carolina ,@aureacarolina,UC239_uqJp21Cymi5abxJdrw
Benedita da Silva,Deputada Federal,Titular em exercício,@dasilvabenedita,Benedita da Silva ,@instadabene,UCG_ROdLbFAP2xcdKHplyqKg
Bia Cavassa,Deputada Federal,Suplente em exercício,@BiaCavassa,Bia Cavassa,@biacavassa,Não tem
Bia Kicis,Deputada Federal,Titular em exercício,@BiaKicis,Bia Kicis,@biakicis,UCeCm6AiQfKamRlBHOGPNVOg
Bruna Furlan,Deputada Federal,Titular em exercício,@DepBrunaFurlan,Bruna Furlan Deputada Federal  ,@depbrunafurlan,UCyuTseDpevq_N-qIw0yvctA
Carla Dickson,Deputada Federal,Suplente em exercício,@carladicksonrn,Carla Dickson ,@carladicksonoficial,UCaI7dtELVVQdmLhzxmNQMcQ
Carla Zambelli,Deputada Federal,Titular em exercício,@CarlaZambelli38,Carla Zambelli ,@carla.zambelli,UCX9VzlP1DyeasSivEr9Eddw
Carmen Zanotto,Deputada Federal,Titular em exercício,@carmen_zanotto,Carmen Zanotto,@carmenzanotto_lages,UCzAS0CBecoZd41tyCclv19A
Caroline de Toni,Deputada Federal,Titular em exercício,@CarolDeToni,Caroline De Toni,@carolinedetoni,UC19ssAcZKcE2J6WL0C0FewQ
Celina Leão,Deputada Federal,Titular em exercício,@celinaleao,Celina Leão ,@celinaleao,UCe0zsysxKAL7X0Fo0K-KeiA
Chris Tonietto,Deputada Federal,Titular em exercício,@ToniettoChris,Chris Tonietto ,@christonietto,UCqqG6AaU2hm2vLhMir4Jdlw
Christiane de Souza,Deputada Federal,Titular em exercício,@ChristianeYared,Christiane Yared ,@christianeyared,Não tem
Clarissa Garotinho,Deputada Federal,Titular em exercício,@dep_clarissa,Clarissa Garotinho ,@clarissagarotinho,UCjgvjLL-9W3CNhFwJy6G_9Q
Daniela do Waguinho,Deputada Federal,Titular em exercício,@DanielaWaguinho,Daniela do Waguinho ,@deputadadanieladowaguinho,UCcJwh4vp9ln3NkxLd0Fr5Bg
Soraya Manato,Deputada Federal,Titular em exercício,@DraManato,Dra. Soraya Manato ,@sorayamanato,UCJCMYqf55b-YkRiDge87UTA
Dulce Miranda,Deputada Federal,Titular em exercício,@dulcemiranda_to,Dulce Miranda ,@dulcemirandato,UCLjnywW_GGT9wQkbOabQoBQ
Edna Henrique,Deputada Federal,Titular em exercício,-,Edna Henrique ,@ednahenriqueoficial,UCV6RGL_QKmQqNoOCIeSEOxg
Elcione Barbalho,Deputada Federal,Titular em exercício,@elcionepmdb,Elcione Barbalho ,@elcionebarbalho,UC_tvrdbxj71F0EYpULUjgjQ
Erika Kokay,Deputada Federal,Titular em exercício,@erikakokay,Erika Kokay ,@erikakokay,UCitf7-v65PhuJE1jRrbDU_Q
Fernanda Melchionna,Deputada Federal,Titular em exercício,@fernandapsol,Fernanda Melchionna,@fernandapsol,UC-3-otiFWQJrVwi22oce0oQ
Flávia Morais,Deputada Federal,Titular em exercício,@depflaviamorais,Flávia Morais ,@flaviamorais1212,UCVdoYhBlbByrR6f1qp1M7tw
Flordelis,Deputada Federal,Titular em exercício,@depflordelis,Flordelis ,@flordeliscantora,UCf6z0j0_-6gw8oq48ODPuQg
Geovania de Sá,Deputada Federal,Titular em exercício,@geovaniadesa,Geovânia de Sá ,@geovaniasa,UCU6PBrqY6yP7LFLwscjZYzQ
Gleisi Hoffmann,Deputada Federal,Titular em exercício,@gleisi,Gleisi Hoffmann ,@gleisihoffmann,UCYrpiXO_4lmsDHO6Xidq9mw
Greyce Elias,Deputada Federal,Titular em exercício,@greyceelias,Greyce Elias ,@greyceelias,UCcSZxLiSfO1dFmAryUnxPHg
Iracema Portella,Deputada Federal,Titular em exercício,@iracemaportela,Iracema Portella ,@iracemaportella,UCmiZBVrSOc75n6Z0I0lLvdg
Jandira Feghali,Deputada Federal,Titular em exercício,@jandira_feghali,Jandira Feghali,@jfeghali,UC5WztziL5qYaHXCT97jMAPg
Jaqueline Cassol,Deputada Federal,Titular em exercício,@jqcassol,Jaqueline Cassol ,@jaquelinecassol,UCIOJWd4xI1WzxTrD0z_YljQ
Jéssica Sales,Deputada Federal,Titular em exercício,-,Jéssica Sales,@jessicasalesdeputada,Não tem
Joênia Wapichana,Deputada Federal,Titular em exercício,@JoeniaWapichana,Joênia Wapichana ,@joeniawapichana,Não tem
Joice Hasselmann,Deputada Federal,Titular em exercício,@joicehasselmann,Joice Hasselmann,@joicehasselmannoficial,UCgfV9J6FuOXaJnp-UuNRydA
Lauriete Malta,Deputada Federal,Titular em exercício,@laurietecantora,Deputada Federal Lauriete ,@deputada.lauriete,Não tem
Leandre Dal Ponte,Deputada Federal,Titular em exercício,@deputadaleandre,Leandre Dal Ponte ,@leandredalponte,UCzdWH5useGalibpneaWTC8A
Leda Sadala,Deputada Federal,Titular em exercício,@dep_ledasadala,Leda Sadala ,@dep_ledasadala,UCljsZJnAxb2-a7qnvttqDTQ
